Address,Price per month €,Capacity,Link
"Booterstown Avenue, Booterstown, Co. Dublin",2450,"2 bedrooms (1 double, 1 twin), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Booterstown-Avenue-Booterstown-Co-Dublin/5239505/
"Shrewsbury Park, Ballsbridge, Dublin 4",3500,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Shrewsbury-Park-Ballsbridge-Dublin-4/5239512/
"Casimir Avenue, Harold's Cross, Dublin 6",1450,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Casimir-Avenue-Harolds-Cross-Dublin-6/5239507/
"14 Butler Court, 30/31 Lower Ormond Quay, Dublin 1",2000,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/14-Butler-Court-3031-Lower-Ormond-Quay-Dublin-1/5239491/
"2 Bed House Off Avondale Road, Phibsborough, Dublin 7",1830,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/2-Bed-House-Off-Avondale-Road-Phibsborough-Dublin-7/5239467/
"6a Sycamore Green, The Park, Cabinteely, Dublin 18",2500,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished or unfurnished",https://www.rent.ie/houses-to-let/6a-Sycamore-Green-The-Park-Cabinteely-Dublin-18/5116850/
"Middle Gardiner street, Dublin 1",1750,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Middle-Gardiner-street-Dublin-1/5239421/
"Lower Dodder Road, Rathfarnham, Dublin 14",1550,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Lower-Dodder-Road-Rathfarnham-Dublin-14/5239401/
"Ballymun Road, Glasnevin, Dublin 9",2400,"2 bedrooms (2 single, 1 twin), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Ballymun-Road-Glasnevin-Dublin-9/5239385/
"31a Woodlawn Walk Santry, Santry, Dublin 9",900,"5 bedrooms (3 single, 2 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/31a-Woodlawn-Walk-Santry-Santry-Dublin-9/5239373/
"Niall Street, Stoneybatter, Dublin 7",1900,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Niall-Street-Stoneybatter-Dublin-7/5228644/
"Hanover Dock, Hanover Quay, Dublin 2",4500,"3 bedrooms (3 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Hanover-Dock-Hanover-Quay-Dublin-2/5239325/
"Braeburn, The Orchard, Lucan, Co. Dublin",1795,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Braeburn-The-Orchard-Lucan-Co-Dublin/5239320/
"Wyckham Place, Dundrum, Dublin 14",2300,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Wyckham-Place-Dundrum-Dublin-14/5239274/
"86 Leeson Street Upper, Ballsbridge, Dublin 4",2200,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/86-Leeson-Street-Upper-Ballsbridge-Dublin-4/5239251/
"Apartment 130, Block 3/4, Gracepark Manor, Drumcondra, Dublin 3",1900,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-130-Block-34-Gracepark-Manor-Drumcondra-Dublin-3/5239238/
"Flat 5, 60 Belgrave Square North, Rathmines, Dublin 6",1279,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Flat-5-60-Belgrave-Square-North-Rathmines-Dublin-6/5239190/
"Apartment 28, The Red Mill, Dublin 7",1700,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-28-The-Red-Mill-Dublin-7/5239172/
"Richmond Square, Smithfield, Dublin 1",1722,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Richmond-Square-Smithfield-Dublin-1/5132875/
"35 North Circular Road, Dublin 7",1080,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/35-North-Circular-Road-Dublin-7/5239143/
"11 Alder Lodge, Castleknock, Dublin 15",2400,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/11-Alder-Lodge-Castleknock-Dublin-15/5239127/
"Flat 3, 270 South Circular Road, Dublin 8",1600,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Flat-3-270-South-Circular-Road-Dublin-8/5239135/
"Beech House, Mespil Estate, Ballsbridge, Dublin 4",1900,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Beech-House-Mespil-Estate-Ballsbridge-Dublin-4/5239139/
"2 Caryscourt Court, Dalkey, Co. Dublin",2390,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/2-Caryscourt-Court-Dalkey-Co-Dublin/5143781/
"1 lurgan street, Dublin 7",1350,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/1-lurgan-street-Dublin-7/5239073/
"Flat 10, Saint Margarets, Dublin 7",929,studio apartment to rent,https://www.rent.ie/houses-to-let/Flat-10-Saint-Margarets-Dublin-7/5239070/
"8 Belfry Grove, Citywest, Citywest, Co. Dublin",1250,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/8-Belfry-Grove-Citywest-Citywest-Co-Dublin/5239062/
"30 Beech Lawn, Dundrum, Dublin 14",2634,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/30-Beech-Lawn-Dundrum-Dublin-14/5233329/
"The Cedars, Herbert Park Lane, Ballsbridge, Dublin 4",1800,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/The-Cedars-Herbert-Park-Lane-Ballsbridge-Dublin-4/5239023/
"College Gate, Dublin 2",1450,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/College-Gate-Dublin-2/5238972/
"Chandlers Guild, James Street, Dublin 8",1800,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Chandlers-Guild-James-Street-Dublin-8/5238803/
"Blessington Street, Dublin 1",1350,studio apartment to rent,https://www.rent.ie/houses-to-let/Blessington-Street-Dublin-1/5239022/
"Great Charles Street, Dublin 1",1350,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Great-Charles-Street-Dublin-1/5238967/
"Shangan Hall, Shangan Road, Ballymun, Dublin 9",1500,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Shangan-Hall-Shangan-Road-Ballymun-Dublin-9/5238990/
"Flat 4, 69 Rathgar Road, Rathgar, Dublin 6",1050,studio apartment to rent,https://www.rent.ie/houses-to-let/Flat-4-69-Rathgar-Road-Rathgar-Dublin-6/5238980/
"Rockfield, Dundrum, Dublin 14",2000,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Rockfield-Dundrum-Dublin-14/5238978/
"Phoenix Shopping Centre Cherry Orchard, Cherry Orchard, Dublin 10",1500,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Phoenix-Shopping-Centre-Cherry-Orchard-Cherry-Orchard-Dublin-10/5238938/
"Temple Gardens, Northwood, Santry, Dublin 9",2400,"3 bedrooms (3 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Temple-Gardens-Northwood-Santry-Dublin-9/5238878/
"Apartment 159, Block D South Central, Rockbrook, Sandyford, Dublin 18",2040,"2 bedrooms (2 double), 2 bathrooms, unfurnished",https://www.rent.ie/houses-to-let/Apartment-159-Block-D-South-Central-Rockbrook-Sandyford-Dublin-18/5238827/
"Flat 1, 65 Aughrim Street, Dublin 7",1200,"1 bedroom (1 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Flat-1-65-Aughrim-Street-Dublin-7/5238895/
"Sutton Park, Sutton, Sutton, Dublin 13",1500,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Sutton-Park-Sutton-Sutton-Dublin-13/5238835/
"Apartment 265, Beechwood Court, Stillorgan, Co. Dublin",2240,"2 bedrooms (2 double), 2 bathrooms, unfurnished",https://www.rent.ie/houses-to-let/Apartment-265-Beechwood-Court-Stillorgan-Co-Dublin/5238822/
"Apartment 211, Block D South Central, Rockbrook, Sandyford, Dublin 18",1990,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-211-Block-D-South-Central-Rockbrook-Sandyford-Dublin-18/5238811/
"13 Garville Road, Rathgar, Dublin 6",1000,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/13-Garville-Road-Rathgar-Dublin-6/5238810/
"Gardiner Place27 Gardier place ., Dublin 1",1550,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Gardiner-Place27-Gardier-place--Dublin-1/5237287/
"Elmwood Avenue, Ranelagh, Ranelagh, Dublin 6",4360,"5 bedrooms (1 single, 4 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Elmwood-Avenue-Ranelagh-Ranelagh-Dublin-6/5237286/
"22 lower Dominick street, Dublin 2",1800,"2 bedrooms (2 double), 1 bath",https://www.rent.ie/houses-to-let/22-lower-Dominick-street-Dublin-2/5237284/
"The Hibernian,the Gasworks, Barrow Street, Grand Canal Dock, Dublin 2",2114,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Hibernianthe-Gasworks-Barrow-Street-Grand-Canal-Dock-Dublin-2/5237281/
"16 Grenville,110 Rathgar Road, Rathgar, Dublin 6",1980,"2 bedrooms (2 double), 2 bathrooms, unfurnished",https://www.rent.ie/houses-to-let/16-Grenville110-Rathgar-Road-Rathgar-Dublin-6/5236666/
"79 Spencer House, Custom House Square, IFSC, Dublin 1",1550,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/79-Spencer-House-Custom-House-Square-IFSC-Dublin-1/5236632/
"The Oaks, Ridgewood, Little Forrest Road, Swords, Swords, Co. Dublin",1900,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Oaks-Ridgewood-Little-Forrest-Road-Swords-Swords-Co-Dublin/5233177/
"Rathmines Road Lower, Rathmines, Dublin 6",1475,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Rathmines-Road-Lower-Rathmines-Dublin-6/5232423/
"Gledswood Mews, Clonskeagh, Dublin 14",3500,"3 bedrooms (1 single, 2 twin), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Gledswood-Mews-Clonskeagh-Dublin-14/5232404/
"Grosvenor Square, Rathmines, Dublin 6",2000,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Grosvenor-Square-Rathmines-Dublin-6/5232409/
"Mount Pleasant Avenue Upper, Ranelagh, Dublin 6",1350,"1 bedroom (1 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Mount-Pleasant-Avenue-Upper-Ranelagh-Dublin-6/5232289/
"Pakenham House, Spencer Dock, North Wall, Dublin 1",2500,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Pakenham-House-Spencer-Dock-North-Wall-Dublin-1/5228667/
"17 Blasket Square, Waterville, Blanchardstown, Dublin 15",1875,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/17-Blasket-Square-Waterville-Blanchardstown-Dublin-15/5228499/
"559 North Circular Road, Dublin 1",725,studio apartment to rent,https://www.rent.ie/houses-to-let/559-North-Circular-Road-Dublin-1/5227991/
"Spencer Dock, Docklands, Dublin 1",2400,"1 bedroom (1 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Spencer-Dock-Docklands-Dublin-1/5227839/
"Harrington Street, Portobello, Dublin 8",920,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Harrington-Street-Portobello-Dublin-8/5227775/
"Mount Ambrose, Toberburr, St Margaret's, Co. Dublin",2500,"4 bedrooms (1 single, 3 double), 3 bathrooms, furnished or unfurnished",https://www.rent.ie/houses-to-let/Mount-Ambrose-Toberburr-St-Margarets-Co-Dublin/5227766/
"117 Loreto Abbey, Rathfarnham, Dublin 14",1760,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/117-Loreto-Abbey-Rathfarnham-Dublin-14/5227767/
"Anglesea Lodge, Anglesea Road, Ballsbridge, Dublin 4",2200,"2 bedrooms (1 single, 1 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Anglesea-Lodge-Anglesea-Road-Ballsbridge-Dublin-4/5218874/
"Apartment 7, Block A, The Malthouse, Rialto, Dublin 8",1800,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-7-Block-A-The-Malthouse-Rialto-Dublin-8/5218873/
"Hampton Wood Road, Finglas, Finglas, Dublin 11",2100,"3 bedrooms (1 single, 2 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Hampton-Wood-Road-Finglas-Finglas-Dublin-11/5218805/
"Millstone House, Clonalkin, Clondalkin, Dublin 22",1875,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Millstone-House-Clonalkin-Clondalkin-Dublin-22/5221111/
"78 Francis Street, Christchurch, Dublin 8",2150,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/78-Francis-Street-Christchurch-Dublin-8/5222679/
"Waterloo Road, Ballsbridge, Dublin 4",1950,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Waterloo-Road-Ballsbridge-Dublin-4/5222676/
"Thornwood Apartments, Booterstown, Co. Dublin",2200,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Thornwood-Apartments-Booterstown-Co-Dublin/5222657/
"Temple Gardens, Northwood, Santry, Dublin 9",1885,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Temple-Gardens-Northwood-Santry-Dublin-9/5220852/
"Cambridge Terrace, York Road, Dun Laoghaire, Co. Dublin",1500,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Cambridge-Terrace-York-Road-Dun-Laoghaire-Co-Dublin/5220836/
"Obelisk Walk, Blackrock, Co. Dublin",2100,"2 bedrooms (2 double), 2 bathrooms, unfurnished",https://www.rent.ie/houses-to-let/Obelisk-Walk-Blackrock-Co-Dublin/5220810/
"Lennox Place, South Circular Road, Dublin 8",1899,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Lennox-Place-South-Circular-Road-Dublin-8/5220809/
"84 Leeson Street Upperballsbridgedublin 4, Ballsbridge, Dublin 4",1950,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/84-Leeson-Street-Upperballsbridgedublin-4-Ballsbridge-Dublin-4/5218881/
"dean street, Dublin 8",2600,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/dean-street-Dublin-8/5218865/
"Aaranmore, Custom House Habour, IFSC, Dublin 1",2400,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Aaranmore-Custom-House-Habour-IFSC-Dublin-1/5217006/
"27 Synge Street, Portobello, Dublin 8",1290,studio apartment to rent,https://www.rent.ie/houses-to-let/27-Synge-Street-Portobello-Dublin-8/5217037/
"62 south great georges street, Dublin 2",1400,studio apartment to rent,https://www.rent.ie/houses-to-let/62-south-great-georges-street-Dublin-2/5217004/
"Kenmare House, North Great Georges Street, Dublin 1",1600,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Kenmare-House-North-Great-Georges-Street-Dublin-1/5216445/
"Black Street, Infirmary Road, Dublin 7",1700,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Black-Street-Infirmary-Road-Dublin-7/5214478/
"Martins Row, Chapelizod, Dublin 20",1995,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Martins-Row-Chapelizod-Dublin-20/5214437/
"La Rochelle, Christchurch, Dublin 8",1750,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/La-Rochelle-Christchurch-Dublin-8/5212470/
"Flat 3, 54 Richmond Street South, Dublin 2",1200,studio apartment to rent,https://www.rent.ie/houses-to-let/Flat-3-54-Richmond-Street-South-Dublin-2/5212445/
"O'hara Ave, Harold's Cross, Dublin 6",1495,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Ohara-Ave-Harolds-Cross-Dublin-6/5212433/
"Hill Of Down House, IFSC, Dublin 1",3048,"3 bedrooms (3 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Hill-Of-Down-House-IFSC-Dublin-1/5212430/
"7 Elmwood, Clonsilla, Clonsilla, Dublin 15",900,studio apartment to rent,https://www.rent.ie/houses-to-let/7-Elmwood-Clonsilla-Clonsilla-Dublin-15/5212414/
"Apartment 10, 341 North Circular Road, North Circular Road, Dublin 7",1700,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-10-341-North-Circular-Road-North-Circular-Road-Dublin-7/5212413/
"Rathmines Road Lower, Rathmines, Dublin 6",1400,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Rathmines-Road-Lower-Rathmines-Dublin-6/5210379/
"Flat 4, 341 North Circular Road, North Circular Road, Dublin 7",1100,studio apartment to rent,https://www.rent.ie/houses-to-let/Flat-4-341-North-Circular-Road-North-Circular-Road-Dublin-7/5210372/
"Eugene Street, Dublin 8",1300,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished or unfurnished",https://www.rent.ie/houses-to-let/Eugene-Street-Dublin-8/5210354/
"Flat 9, 23 Leeson Street Upper, Dublin 4",1800,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Flat-9-23-Leeson-Street-Upper-Dublin-4/5210330/
"Flat 2, 87 Aughrim Street, Stoneybatter, Dublin 7",1350,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Flat-2-87-Aughrim-Street-Stoneybatter-Dublin-7/5209039/
"Granite Field, Woodside Road, Sandyford, Dublin 18",2400,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Granite-Field-Woodside-Road-Sandyford-Dublin-18/5208528/
"Apartment 8, Block D Butlers Court, Grand Canal Dock, Dublin 2",2650,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-8-Block-D-Butlers-Court-Grand-Canal-Dock-Dublin-2/5208480/
"Bertram Court, High Street, Dublin 8",1350,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Bertram-Court-High-Street-Dublin-8/5204211/
"Hyde Square, South Circular Road, Dublin 8",1850,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Hyde-Square-South-Circular-Road-Dublin-8/5203589/
"Apt 2 House 7 Linden Square, Grove Ave, Blackrock, Co. Dublin",2100,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apt-2-House-7-Linden-Square-Grove-Ave-Blackrock-Co-Dublin/5202278/
"Apartment 31, Kingscourt, Smithfield, Dublin 7",1860,"2 bedrooms (2 double), 1 bathroom, furnished or unfurnished",https://www.rent.ie/houses-to-let/Apartment-31-Kingscourt-Smithfield-Dublin-7/5202281/
"Harbour Mill Development, George's Hill, Balbriggan, Co. Dublin",1650,"2 bedrooms (2 double), 1 bathroom, unfurnished",https://www.rent.ie/houses-to-let/Harbour-Mill-Development-Georges-Hill-Balbriggan-Co-Dublin/5202267/
"Dunville Ave, Ranelagh, Dublin 6",1300,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Dunville-Ave-Ranelagh-Dublin-6/5202236/
"The Old Chocolate Factory, Kilmainham Square, Dublin 8",1900,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Old-Chocolate-Factory-Kilmainham-Square-Dublin-8/5200424/
"Merrion Village, Ballsbridge, Dublin 4",2191,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Merrion-Village-Ballsbridge-Dublin-4/5200410/
"Collegefort, Castleknock, Castleknock, Dublin 15",1900,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Collegefort-Castleknock-Castleknock-Dublin-15/5200405/
"Norseman Court, Stoneybatter, Dublin 7",1500,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Norseman-Court-Stoneybatter-Dublin-7/5198714/
"Old Bawn Rd, Tallaght, Dublin 24",1060,studio apartment to rent,https://www.rent.ie/houses-to-let/Old-Bawn-Rd-Tallaght-Dublin-24/5198723/
"Mill Stone House, Old Nangor Road, Clondalkin, Dublin 22",1500,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Mill-Stone-House-Old-Nangor-Road-Clondalkin-Dublin-22/5197273/
"Elgin House, Malahide Road, Malahide, Co. Dublin",6300,"5 bedrooms (1 single, 4 double), 4 bathrooms, furnished or unfurnished",https://www.rent.ie/houses-to-let/Elgin-House-Malahide-Road-Malahide-Co-Dublin/5194935/
"Rathgar Road, Rathgar, Dublin 6",1590,"2 bedrooms (2 single), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Rathgar-Road-Rathgar-Dublin-6/5197240/
"Marshals Court, Dublin 8",1710,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Marshals-Court-Dublin-8/5196212/
"Aulden Grange, Santry, Dublin 9",2585,"4 bedrooms (4 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Aulden-Grange-Santry-Dublin-9/5194922/
"Bannow Road, Cabra West, Cabra, Dublin 7",1800,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Bannow-Road-Cabra-West-Cabra-Dublin-7/5194926/
"52 Rathmines Road Upper, Rathmines, Dublin 6",5500,"5 bedrooms (5 double), 6 bathrooms, furnished or unfurnished",https://www.rent.ie/houses-to-let/52-Rathmines-Road-Upper-Rathmines-Dublin-6/5194920/
"Aungier st, Dublin 2",1400,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Aungier-st-Dublin-2/5193230/
"38 Northcliffe. St Martins Row, Chapelizod, Dublin 20",1600,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/38-Northcliffe-St-Martins-Row-Chapelizod-Dublin-20/5193198/
"Ivy Exchange, Dublin 1",2100,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Ivy-Exchange-Dublin-1/5193169/
"Dunloe Hall, 27 Merrion Street Upper, Dublin 2",2250,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Dunloe-Hall-27-Merrion-Street-Upper-Dublin-2/5191992/
"43 Woodbine Road, Raheny, Dublin 5",2200,"3 bedrooms (3 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/43-Woodbine-Road-Raheny-Dublin-5/5189067/
"83 Clonskeagh Road, Clonskeagh, Dublin 14",1850,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/83-Clonskeagh-Road-Clonskeagh-Dublin-14/5190971/
"Ridgewood Grove, Swords, Co. Dublin",1500,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Ridgewood-Grove-Swords-Co-Dublin/5188963/
"Larkhill Road, Whitehall, Whitehall, Dublin 9",920,studio apartment to rent,https://www.rent.ie/houses-to-let/Larkhill-Road-Whitehall-Whitehall-Dublin-9/5190334/
"Cappagh Road, Finglas, Dublin 11",700,studio apartment to rent,https://www.rent.ie/houses-to-let/Cappagh-Road-Finglas-Dublin-11/5190336/
"Willow Park Avenue, Glasnevin, Dublin 11",920,studio apartment to rent,https://www.rent.ie/houses-to-let/Willow-Park-Avenue-Glasnevin-Dublin-11/5190337/
"Shelbourne Village, Dublin 4",1750,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Shelbourne-Village-Dublin-4/5190257/
"48 Thomas Street, Dublin 8",1900,"2 bedrooms, 1 bathroom, furnished",https://www.rent.ie/houses-to-let/48-Thomas-Street-Dublin-8/5189314/
"Block A, Smithfield Market, Smithfield, Dublin 7",2200,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Block-A-Smithfield-Market-Smithfield-Dublin-7/5188989/
"1 Hampton Court, Bloomfield Avenue, Donnybrook, Dublin 4",1650,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/1-Hampton-Court-Bloomfield-Avenue-Donnybrook-Dublin-4/5188993/
"Mountjoy Square, Dublin 1",1450,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Mountjoy-Square-Dublin-1/5188996/
"Synod Place, Norsemans Walk, Lusk Village, Lusk, Co. Dublin",1500,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Synod-Place-Norsemans-Walk-Lusk-Village-Lusk-Co-Dublin/5188940/
"The Academy Building, Park West, Dublin 12",2400,"3 bedrooms (3 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Academy-Building-Park-West-Dublin-12/5186638/
"Dorset Square, Gardiner Street Upper, Dublin 1",1800,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Dorset-Square-Gardiner-Street-Upper-Dublin-1/5186601/
"Upper Leeson Street, Dublin 4",1400,studio apartment to rent,https://www.rent.ie/houses-to-let/Upper-Leeson-Street-Dublin-4/5186620/
"Healy's Lane, Rush, Co. Dublin",3000,"3 bedrooms (3 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Healys-Lane-Rush-Co-Dublin/5186615/
"The Northumberlands, Love Lane East, Dublin 2",2200,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/The-Northumberlands-Love-Lane-East-Dublin-2/5186600/
"Clonfadda Wood, Mount Merrion Avenue, Blackrock, Co. Dublin",2300,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Clonfadda-Wood-Mount-Merrion-Avenue-Blackrock-Co-Dublin/5185319/
"Apartment 13, Dawson House, Dean Court, Dublin 8",1500,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-13-Dawson-House-Dean-Court-Dublin-8/5185264/
"Flat 4, 31 Victoria Street, Portobello, Dublin 8",1100,studio apartment to rent,https://www.rent.ie/houses-to-let/Flat-4-31-Victoria-Street-Portobello-Dublin-8/5185236/
"Studio 31 The Maltings 54/55 Marrowbone Lane, Dublin 8",1850,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Studio-31-The-Maltings-5455-Marrowbone-Lane-Dublin-8/5183462/
